,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
2537,0.8043478260869605,False,False,0.3652119681754275,0.1946182957743685,True,True,True,False,False,0.01,0.2,False,0.0,0.0,0.0,0.0,0.9287671232876712,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2111,0.5217391304347885,False,False,0.4826246990028484,0.13478337738823415,True,True,True,False,False,0.005,0.1,False,0.0,0.0,0.0,0.0,0.7698630136986302,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
468,0.021739130434788482,False,False,0.3680009641637537,0.2958896009282205,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2512,0.7608695652173978,False,False,0.5050296867794828,0.33036078871449154,True,True,True,False,False,0.01,0.0,False,0.0,0.0,0.0,0.0,0.27945205479452057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
404,0.0,False,False,0.5563859356858056,0.1322003389829362,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.7506849315068493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
414,0.0,False,False,0.4856267019596,0.31947645320983564,True,True,True,False,False,0.01,0.1,True,0.0,0.0,0.0,0.0,0.7726027397260274,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1336,0.1739130434782652,False,False,0.4645433217216373,0.200913233852982,True,True,True,False,False,0.01,0.1,False,0.0007230657989877079,0.0,0.0,0.0,0.21917808219178084,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1526,0.21739130434782794,False,False,0.34421990102088457,0.1497322154441285,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0001357588922074396,0.0,0.7643835616438356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2105,0.5217391304347885,False,False,0.6056338764370983,0.2419257218817096,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.6054794520547946,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
888,0.0869565217391326,False,False,0.010669507100936336,0.3486948272219105,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.5945205479452055,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
592,0.021739130434788482,False,False,0.4246445179528988,0.13524852967583245,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.3506849315068493,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2145,0.5434782608695699,False,False,0.5201872319304954,0.13120359928261616,True,True,True,False,False,0.005,0.0,False,0.0,0.0,0.0001357588922074396,0.3333333333333333,0.04657534246575342,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2133,0.5217391304347885,False,False,0.4852972921446469,0.31867422655648525,True,True,True,False,False,0.005,0.1,False,0.0,0.0,0.0,0.0,0.9726027397260274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
632,0.021739130434788482,False,False,0.34240432810361104,0.15101131107695714,True,True,True,False,False,0.01,0.1,True,0.0,0.0,0.0,0.0,0.5095890410958904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
