,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,propextent,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
43,1970,False,False,39.078590000000005,-84.17941400000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,1970,False,False,42.263414000000004,-83.66528100000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,1970,False,False,37.869885,-122.27053899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,7.0,0.0,3.0,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,1970,False,False,37.869885,-122.27053899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,7.0,0.0,3.0,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,1970,False,False,40.78306,-73.971249,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,1970,False,False,44.04483,-123.07260600000001,True,True,True,False,False,2.0,1.0,False,0.0,0.0,1.0,0.0,3.0,46,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,1970,False,False,37.777125,-122.41964399999999,True,True,True,False,False,2.0,1.0,False,1.0,0.0,0.0,0.0,3.0,47,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,1970,False,False,39.334825,-77.431653,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
55,1970,False,False,30.493919,-90.132512,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1970,False,False,41.504365,-81.69045899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,49,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,1970,False,False,41.763325,-72.67406899999999,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,3.0,51,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1970,False,False,40.807026,-73.960349,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1970,False,False,47.655335,-122.30351999999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,1970,False,False,40.678178,-73.944158,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,52,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1970,False,False,40.78306,-73.971249,True,True,True,False,False,4.0,1.0,True,0.0,0.0,0.0,0.0,3.0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,1970,False,False,42.455233,-76.475847,True,True,True,False,False,2.0,0.0,False,0.0,0.0,0.0,0.0,3.0,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,1970,False,False,32.222232,-110.925752,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,1970,False,False,39.74001,-104.992259,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1970,False,False,40.101952000000004,-88.227161,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,55,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1970,False,False,40.007581,-105.265942,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,1970,False,False,40.007581,-105.265942,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,1970,False,False,38.83345,-104.821814,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,60,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,1970,False,False,40.007581,-105.265942,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,60,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,1970,False,False,40.014986,-105.270546,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,1970,False,False,41.504365,-81.69045899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
